period,country,indicator,breakdown,unit,value,flags,reference_period,remarks
desi_2023,AT,desi_us,total,egov_score,80.15873,"",2022,
desi_2023,BE,desi_us,total,egov_score,92.857143,"",2022,
desi_2023,BG,desi_us,total,egov_score,82.010582,"",2022,
desi_2023,CY,desi_us,total,egov_score,82.010582,"",2022,
desi_2023,CZ,desi_us,total,egov_score,67.989418,"",2022,
desi_2023,DE,desi_us,total,egov_score,81.216931,"",2022,
desi_2023,DK,desi_us,total,egov_score,84.920635,"",2022,
desi_2023,EE,desi_us,total,egov_score,97.619048,"",2022,
desi_2023,EL,desi_us,total,egov_score,74.074074,"",2022,
desi_2023,ES,desi_us,total,egov_score,87.037037,"",2022,
desi_2023,EU,desi_us,total,egov_score,83.588085,"",2022,
desi_2023,FI,desi_us,total,egov_score,96.296296,"",2022,
desi_2023,EE,desi_aehr,total,egov_score,89.166667,"",2022,
desi_2023,EL,desi_aehr,total,egov_score,60.714286,"",2022,
desi_2023,ES,desi_aehr,total,egov_score,83.146645,"",2022,
desi_2023,EU,desi_aehr,total,egov_score,71.541406,"",2022,
desi_2023,FI,desi_aehr,total,egov_score,90.059524,"",2022,
desi_2023,FR,desi_aehr,total,egov_score,54.491342,"",2022,
desi_2023,LT,desi_us,cross_border,egov_score,66.666667,"",2022,
desi_2023,LU,desi_us,cross_border,egov_score,100,"",2022,
desi_2023,LV,desi_us,cross_border,egov_score,85.185185,"",2022,
desi_2023,MT,desi_us,cross_border,egov_score,100,"",2022,
desi_2023,NL,desi_us,cross_border,egov_score,100,"",2022,
desi_2023,PL,desi_us,cross_border,egov_score,44.444444,"",2022,
desi_2023,PT,desi_us,cross_border,egov_score,81.481481,"",2022,
desi_2023,RO,desi_us,cross_border,egov_score,44.444444,"",2022,
desi_2023,SE,desi_us,cross_border,egov_score,66.666667,"",2022,
desi_2023,SI,desi_us,cross_border,egov_score,70.37037,"",2022,
desi_2023,SK,desi_us,cross_border,egov_score,70.37037,"",2022,
desi_2023,AT,desi_tdpd,all_egov_le,egov_score,71.07024,"",2022,
desi_2023,BE,desi_tdpd,all_egov_le,egov_score,65.510834,"",2022,
desi_2023,BG,desi_tdpd,all_egov_le,egov_score,51.221676,"",2022,
desi_2023,CY,desi_tdpd,all_egov_le,egov_score,31.87485,"",2022,
desi_2023,CZ,desi_tdpd,all_egov_le,egov_score,57.314126,"",2022,
desi_2023,DE,desi_tdpd,all_egov_le,egov_score,49.223111,"",2022,
desi_2023,DK,desi_tdpd,all_egov_le,egov_score,78.018603,"",2022,
desi_2023,EE,desi_tdpd,all_egov_le,egov_score,86.725019,"",2022,
desi_2023,EL,desi_tdpd,all_egov_le,egov_score,52.435248,"",2022,
desi_2023,ES,desi_tdpd,all_egov_le,egov_score,72.684419,"",2022,
desi_2023,EU,desi_tdpd,all_egov_le,egov_score,64.730926,"",2022,
desi_2023,FI,desi_tdpd,all_egov_le,egov_score,71.541866,"",2022,
desi_2023,FR,desi_tdpd,all_egov_le,egov_score,64.897266,"",2022,
desi_2023,HR,desi_tdpd,all_egov_le,egov_score,52.438734,"",2022,
desi_2023,HU,desi_tdpd,all_egov_le,egov_score,56.598262,"",2022,
desi_2023,IE,desi_tdpd,all_egov_le,egov_score,70.760645,"",2022,
desi_2023,IT,desi_tdpd,all_egov_le,egov_score,49.20089,"",2022,
desi_2023,LT,desi_tdpd,all_egov_le,egov_score,77.651864,"",2022,
desi_2023,LU,desi_tdpd,all_egov_le,egov_score,89.650206,"",2022,
desi_2023,LV,desi_tdpd,all_egov_le,egov_score,71.315893,"",2022,
desi_2023,MT,desi_tdpd,all_egov_le,egov_score,98.164777,"",2022,
desi_2023,NL,desi_tdpd,all_egov_le,egov_score,81.320988,"",2022,
desi_2023,PL,desi_pff,all_egov_le,egov_score,78.298611,"",2022,
desi_2023,PT,desi_pff,all_egov_le,egov_score,81.481481,"",2022,
desi_2023,RO,desi_pff,all_egov_le,egov_score,40.740741,"",2022,
desi_2023,SE,desi_pff,all_egov_le,egov_score,86.296296,"",2022,
desi_2023,SI,desi_pff,all_egov_le,egov_score,72.037037,"",2022,
desi_2023,SK,desi_pff,all_egov_le,egov_score,55.864198,"",2022,
desi_2023,AT,desi_dps_cit,national,egov_score,89.762777,"",2022,
desi_2023,BE,desi_dps_cit,national,egov_score,88.495238,"",2022,
desi_2023,BG,desi_dps_cit,national,egov_score,76.656463,"",2022,
desi_2023,CY,desi_dps_cit,national,egov_score,64.507937,"",2022,
desi_2023,AT,desi_dps_cit,total,egov_score,78.421071,"",2022,
desi_2023,BE,desi_dps_cit,total,egov_score,81.453968,"",2022,
desi_2023,BG,desi_dps_cit,total,egov_score,59.518707,"",2022,
desi_2023,CY,desi_dps_cit,total,egov_score,63.623016,"",2022,
desi_2023,CZ,desi_dps_cit,total,egov_score,76.165646,"",2022,
desi_2023,DE,desi_dps_cit,total,egov_score,78.44144,"",2022,
desi_2023,DK,desi_dps_cit,total,egov_score,84.047619,"",2022,
desi_2023,EE,desi_dps_cit,total,egov_score,94.036054,"",2022,
desi_2023,EL,desi_dps_cit,total,egov_score,64.599773,"",2022,
desi_2023,ES,desi_dps_cit,total,egov_score,86.185714,"",2022,
desi_2023,EU,desi_dps_cit,total,egov_score,77.032742,"",2022,
desi_2023,FI,desi_dps_cit,total,egov_score,91.619048,"",2022,
desi_2023,FR,desi_dps_cit,total,egov_score,71.290023,"",2022,
desi_2023,HR,desi_dps_cit,total,egov_score,71.119048,"",2022,
desi_2023,HU,desi_dps_cit,total,egov_score,67.874376,"",2022,
desi_2023,IE,desi_dps_cit,total,egov_score,81.071429,"",2022,
desi_2023,IT,desi_dps_cit,total,egov_score,67.909864,"",2022,
desi_2023,LT,desi_dps_cit,total,egov_score,83.847449,"",2022,
desi_2023,LU,desi_dps_cit,total,egov_score,94.776786,"",2022,
desi_2023,LV,desi_dps_cit,total,egov_score,87.170748,"",2022,
desi_2023,MT,desi_dps_cit,total,egov_score,100,"",2022,
desi_2023,NL,desi_dps_cit,total,egov_score,84.620635,"",2022,
desi_2023,PL,desi_dps_cit,total,egov_score,59.91746,"",2022,
