COUNTRY_REGION,governance,funding,literacy,regulation,monitoring,ehr,facilities,telehealth,mhealth,bigdata,DHMI_equal,DHMI_scaled
ALB,0,100,100,100,100,100,100,100,100,100,90,24.99999999999997
AND,66.66666666666666,100,100,100,100,100,100,100,100,100,96.66666666666667,75.00000000000003
ARM,66.66666666666666,NA,100,100,100,100,100,100,100,100,96.29629629629629,72.22222222222217
AUT,33.33333333333333,100,100,100,100,100,100,100,100,100,93.33333333333333,49.99999999999994
AZE,33.33333333333333,100,100,100,100,100,100,100,100,100,93.33333333333333,49.99999999999994
BLR,66.66666666666666,100,66.66666666666666,100,100,100,100,100,100,100,93.33333333333333,49.99999999999994
BEL,33.33333333333333,100,100,100,100,100,100,100,100,100,93.33333333333333,49.99999999999994
BIH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGR,100,100,NA,100,100,100,NA,NA,NA,100,100,100
HRV,0,100,100,100,100,100,100,100,100,100,90,24.99999999999997
CYP,66.66666666666666,100,66.66666666666666,100,100,100,100,100,100,100,93.33333333333333,49.99999999999994
CZE,66.66666666666666,100,100,100,100,100,100,100,NA,100,96.29629629629629,72.22222222222217
DNK,66.66666666666666,100,100,100,100,100,100,100,100,100,96.66666666666667,75.00000000000003
EST,50,100,100,100,100,100,100,100,NA,100,94.44444444444444,58.3333333333333
FIN,33.33333333333333,100,100,100,100,100,100,100,100,100,93.33333333333333,49.99999999999994
FRA,100,100,100,100,100,100,100,100,100,100,100,100
GEO,0,100,66.66666666666666,100,100,100,100,100,100,100,86.66666666666667,0
DEU,33.33333333333333,100,100,100,100,100,100,100,100,100,93.33333333333333,49.99999999999994
GRC,0,100,100,100,100,100,100,100,100,100,90,24.99999999999997
HUN,33.33333333333333,100,100,100,100,100,100,100,100,100,93.33333333333333,49.99999999999994
ISL,66.66666666666666,100,100,100,100,100,100,100,100,100,96.66666666666667,75.00000000000003
IRL,66.66666666666666,100,100,100,100,100,NA,100,100,100,96.29629629629629,72.22222222222217
ISR,66.66666666666666,100,100,100,100,100,100,100,100,100,96.66666666666667,75.00000000000003
ITA,100,100,66.66666666666666,100,100,100,100,100,100,100,96.66666666666667,75.00000000000003
KAZ,33.33333333333333,100,66.66666666666666,100,100,100,100,100,100,100,90,24.99999999999997
KGZ,33.33333333333333,100,100,100,100,100,100,100,100,100,93.33333333333333,49.99999999999994
LVA,33.33333333333333,100,50,100,100,100,100,100,100,100,88.33333333333333,12.499999999999932
LTU,100,100,100,100,100,100,100,100,100,100,100,100
LUX,100,100,100,100,100,100,100,100,100,100,100,100
MLT,0,100,100,100,100,100,100,100,100,100,90,24.99999999999997
MCO,100,100,100,100,100,NA,NA,100,NA,100,100,100
MNE,33.33333333333333,100,100,100,100,100,100,100,100,100,93.33333333333333,49.99999999999994
NLD,100,100,100,100,100,100,100,100,100,100,100,100
MKD,100,100,100,100,100,100,100,100,100,100,100,100
NOR,66.66666666666666,100,100,100,100,100,100,100,100,100,96.66666666666667,75.00000000000003
POL,66.66666666666666,100,66.66666666666666,100,100,100,100,100,100,100,93.33333333333333,49.99999999999994
PRT,100,100,100,100,100,100,100,100,100,100,100,100
MDA,100,100,100,100,100,100,100,100,100,100,100,100
UZB,0,100,100,100,100,100,100,100,100,100,90,24.99999999999997
ROU,0,100,100,100,100,100,100,100,100,100,90,24.99999999999997
RUS,100,100,100,100,100,100,100,100,100,100,100,100
SMR,66.66666666666666,100,100,100,100,100,100,100,100,100,96.66666666666667,75.00000000000003
SRB,33.33333333333333,100,66.66666666666666,100,100,100,100,100,100,NA,88.88888888888889,16.666666666666615
SVK,100,100,100,100,100,100,100,100,NA,100,100,100
SVN,100,100,100,100,100,100,100,100,100,100,100,100
ESP,33.33333333333333,100,100,100,100,100,100,100,100,100,93.33333333333333,49.99999999999994
SWE,66.66666666666666,100,100,100,100,100,100,100,100,100,96.66666666666667,75.00000000000003
CHE,66.66666666666666,100,100,100,100,100,100,100,NA,100,96.29629629629629,72.22222222222217
TJK,0,100,100,100,100,100,100,100,100,100,90,24.99999999999997
TKM,33.33333333333333,100,100,100,100,100,100,100,NA,NA,91.66666666666667,37.500000000000014
TUR,66.66666666666666,100,66.66666666666666,100,100,100,100,100,100,100,93.33333333333333,49.99999999999994
UKR,100,100,66.66666666666666,100,100,100,100,100,100,100,96.66666666666667,75.00000000000003
GBR,66.66666666666666,100,100,100,100,100,100,100,100,100,96.66666666666667,75.00000000000003
