COUNTRY_REGION,DHMI_equal,DHMI_scaled,Cluster,Cluster_Label,Cluster_Companion_Label,country,DESI_eHealth
BGR,100,100,2,High Maturity,Comprehensive Adopters,BG,77.205087
FRA,100,100,2,High Maturity,Comprehensive Adopters,FR,54.491342
LTU,100,100,2,High Maturity,Comprehensive Adopters,LT,91.953463
LUX,100,100,2,High Maturity,Comprehensive Adopters,LU,67.167208
NLD,100,100,2,High Maturity,Comprehensive Adopters,NL,69.375
PRT,100,100,2,High Maturity,Comprehensive Adopters,PT,62.689394
SVK,100,100,2,High Maturity,Comprehensive Adopters,SK,42.034632
SVN,100,100,2,High Maturity,Comprehensive Adopters,SI,80.416667
DNK,96.66666666666669,75.00000000000003,1,Medium Maturity,Emerging Adopters,DK,95.833333
ITA,96.66666666666669,75.00000000000003,1,Medium Maturity,Emerging Adopters,IT,71.320346
SWE,96.66666666666669,75.00000000000003,1,Medium Maturity,Emerging Adopters,SE,70.292208
CZE,96.29629629629628,72.22222222222217,1,Medium Maturity,Emerging Adopters,CZ,46.607143
IRL,96.29629629629628,72.22222222222217,1,Medium Maturity,Emerging Adopters,IE,0
EST,94.44444444444444,58.3333333333333,1,Medium Maturity,Emerging Adopters,EE,89.166667
AUT,93.33333333333331,49.99999999999994,1,Medium Maturity,Emerging Adopters,AT,88.165584
BEL,93.33333333333331,49.99999999999994,1,Medium Maturity,Emerging Adopters,BE,85.064935
CYP,93.33333333333331,49.99999999999994,1,Medium Maturity,Emerging Adopters,CY,70.227273
FIN,93.33333333333331,49.99999999999994,1,Medium Maturity,Emerging Adopters,FI,90.059524
DEU,93.33333333333331,49.99999999999994,1,Medium Maturity,Emerging Adopters,DE,70.292208
HUN,93.33333333333331,49.99999999999994,1,Medium Maturity,Emerging Adopters,HU,79.91342
POL,93.33333333333331,49.99999999999994,1,Medium Maturity,Emerging Adopters,PL,86.404221
ESP,93.33333333333331,49.99999999999994,1,Medium Maturity,Emerging Adopters,ES,83.146645
HRV,90,24.99999999999997,3,Low Maturity,Fragmented Adopters,HR,85.568182
GRC,90,24.99999999999997,3,Low Maturity,Fragmented Adopters,EL,60.714286
MLT,90,24.99999999999997,3,Low Maturity,Fragmented Adopters,MT,77.613636
ROU,90,24.99999999999997,3,Low Maturity,Fragmented Adopters,RO,57.064394
LVA,88.33333333333333,12.499999999999932,3,Low Maturity,Fragmented Adopters,LV,78.831169
