COUNTRY_REGION,DHMI_equal,DHMI_scaled,Cluster,Cluster_Label,Cluster_Companion_Label,UHC_index,UHC_data_year
BGR,100,100,2,High Maturity,Comprehensive Adopters,73,2023
FRA,100,100,2,High Maturity,Comprehensive Adopters,82,2023
LTU,100,100,2,High Maturity,Comprehensive Adopters,78,2023
LUX,100,100,2,High Maturity,Comprehensive Adopters,83,2023
MCO,100,100,2,High Maturity,Comprehensive Adopters,85,2023
NLD,100,100,2,High Maturity,Comprehensive Adopters,85,2023
MKD,100,100,2,High Maturity,Comprehensive Adopters,69,2023
PRT,100,100,2,High Maturity,Comprehensive Adopters,83,2023
MDA,100,100,2,High Maturity,Comprehensive Adopters,71,2023
RUS,100,100,2,High Maturity,Comprehensive Adopters,81,2023
SVK,100,100,2,High Maturity,Comprehensive Adopters,78,2023
SVN,100,100,2,High Maturity,Comprehensive Adopters,84,2023
AND,96.66666666666669,75.00000000000003,1,Medium Maturity,Emerging Adopters,75,2023
DNK,96.66666666666669,75.00000000000003,1,Medium Maturity,Emerging Adopters,85,2023
ISL,96.66666666666669,75.00000000000003,1,Medium Maturity,Emerging Adopters,90,2023
ISR,96.66666666666669,75.00000000000003,1,Medium Maturity,Emerging Adopters,85,2023
ITA,96.66666666666669,75.00000000000003,1,Medium Maturity,Emerging Adopters,82,2023
NOR,96.66666666666669,75.00000000000003,1,Medium Maturity,Emerging Adopters,89,2023
SMR,96.66666666666669,75.00000000000003,1,Medium Maturity,Emerging Adopters,74,2023
SWE,96.66666666666669,75.00000000000003,1,Medium Maturity,Emerging Adopters,85,2023
UKR,96.66666666666669,75.00000000000003,1,Medium Maturity,Emerging Adopters,80,2023
GBR,96.66666666666669,75.00000000000003,1,Medium Maturity,Emerging Adopters,88,2023
ARM,96.29629629629628,72.22222222222217,1,Medium Maturity,Emerging Adopters,69,2023
CZE,96.29629629629628,72.22222222222217,1,Medium Maturity,Emerging Adopters,83,2023
IRL,96.29629629629628,72.22222222222217,1,Medium Maturity,Emerging Adopters,82,2023
CHE,96.29629629629628,72.22222222222217,1,Medium Maturity,Emerging Adopters,87,2023
EST,94.44444444444444,58.3333333333333,1,Medium Maturity,Emerging Adopters,79,2023
AUT,93.33333333333331,49.99999999999994,1,Medium Maturity,Emerging Adopters,84,2023
AZE,93.33333333333331,49.99999999999994,1,Medium Maturity,Emerging Adopters,67,2023
BLR,93.33333333333331,49.99999999999994,1,Medium Maturity,Emerging Adopters,80,2023
BEL,93.33333333333331,49.99999999999994,1,Medium Maturity,Emerging Adopters,86,2023
CYP,93.33333333333331,49.99999999999994,1,Medium Maturity,Emerging Adopters,76,2023
FIN,93.33333333333331,49.99999999999994,1,Medium Maturity,Emerging Adopters,86,2023
DEU,93.33333333333331,49.99999999999994,1,Medium Maturity,Emerging Adopters,87,2023
HUN,93.33333333333331,49.99999999999994,1,Medium Maturity,Emerging Adopters,80,2023
KGZ,93.33333333333331,49.99999999999994,1,Medium Maturity,Emerging Adopters,74,2023
MNE,93.33333333333331,49.99999999999994,1,Medium Maturity,Emerging Adopters,70,2023
POL,93.33333333333331,49.99999999999994,1,Medium Maturity,Emerging Adopters,82,2023
ESP,93.33333333333331,49.99999999999994,1,Medium Maturity,Emerging Adopters,84,2023
TUR,93.33333333333331,49.99999999999994,1,Medium Maturity,Emerging Adopters,77,2023
TKM,91.66666666666669,37.500000000000014,3,Low Maturity,Fragmented Adopters,81,2023
ALB,90,24.99999999999997,3,Low Maturity,Fragmented Adopters,71,2023
HRV,90,24.99999999999997,3,Low Maturity,Fragmented Adopters,76,2023
GRC,90,24.99999999999997,3,Low Maturity,Fragmented Adopters,77,2023
KAZ,90,24.99999999999997,3,Low Maturity,Fragmented Adopters,83,2023
MLT,90,24.99999999999997,3,Low Maturity,Fragmented Adopters,82,2023
UZB,90,24.99999999999997,3,Low Maturity,Fragmented Adopters,79,2023
ROU,90,24.99999999999997,3,Low Maturity,Fragmented Adopters,77,2023
TJK,90,24.99999999999997,3,Low Maturity,Fragmented Adopters,72,2023
SRB,88.88888888888889,16.666666666666615,3,Low Maturity,Fragmented Adopters,73,2023
LVA,88.33333333333333,12.499999999999932,3,Low Maturity,Fragmented Adopters,77,2023
GEO,86.66666666666667,0,3,Low Maturity,Fragmented Adopters,71,2023
