COUNTRY_REGION,YEAR,DH_1,DH_2,DH_3,DH_4,DH_5,DH_6,DH_7,DH_8,DH_9,DH_10,DH_11,DH_12,DH_13,DH_14,DH_15,DH_16,DH_17,DH_18,DH_19,DH_20,DH_21,DH_22,DH_23,DH_24,DH_25,DH_26,DH_27,DH_28,DH_29,DH_43,DH_44,DH_45,DH_46,DH_47,DH_48,DH_49,DH_50,DH_51,DH_52,DH_53,DH_54,DH_67,DH_68,DH_69,DH_70
ALB,2022,-1,-2,-3,3,0,3,3,3,3,3,3,3,3,3,3,NA,3,3,3,0,3,3,NA,3,3,3,3,3,3,3,0,3,3,3,3,3,0,3,3,3,0,3,3,NA,3
AND,2022,-1,3,3,3,0,0,0,3,NA,NA,3,3,3,3,3,3,3,3,3,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,3,0,NA,NA,NA,NA,3
ARM,2022,0,3,-3,NA,NA,NA,NA,0,3,0,3,3,3,3,0,0,3,3,0,0,NA,3,3,3,3,3,3,3,3,3,0,0,0,0,NA,3,0,3,0,3,0,0,0,3,3
AUT,2022,-1,3,-3,3,0,0,3,0,NA,3,3,3,NA,3,3,0,3,3,3,3,0,3,0,3,0,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,0
AZE,2022,3,-2,-3,3,NA,NA,3,3,3,3,3,3,3,3,3,NA,NA,3,3,0,NA,0,0,0,3,0,3,2,2,3,NA,0,0,3,0,3,0,0,3,3,3,3,0,NA,3
BLR,2022,3,3,-3,3,0,3,0,-4,0,0,3,3,3,3,3,3,0,0,3,NA,3,3,0,0,3,0,3,3,3,3,3,3,3,0,0,0,0,0,0,3,0,3,0,0,3
BEL,2022,3,-2,-3,3,3,NA,3,3,NA,3,3,3,3,0,0,0,3,3,3,3,0,3,3,3,0,NA,3,3,3,3,3,NA,NA,3,3,3,3,3,3,0,NA,3,3,0,0
BIH,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BGR,2022,0,3,0,3,0,0,0,NA,NA,NA,3,3,3,3,3,0,3,3,3,0,3,NA,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
HRV,2022,-1,-2,-3,3,0,3,3,0,3,NA,3,3,0,3,3,3,3,3,3,0,0,NA,0,3,0,0,3,2,2,3,NA,NA,NA,NA,3,3,NA,0,3,3,NA,0,0,0,3
