COUNTRY_REGION,DHMI_full,DHMI_restricted
LTU,100,100
LUX,100,100
NLD,100,100
MKD,100,100
PRT,100,100
MDA,100,100
RUS,100,100
SVK,100,100
SVN,100,100
AND,75.00000000000003,75.00000000000003
DNK,75.00000000000003,75.00000000000003
ISL,75.00000000000003,75.00000000000003
ISR,75.00000000000003,75.00000000000003
ITA,75.00000000000003,75.00000000000003
NOR,75.00000000000003,75.00000000000003
SMR,75.00000000000003,75.00000000000003
SWE,75.00000000000003,75.00000000000003
UKR,75.00000000000003,75.00000000000003
GBR,75.00000000000003,75.00000000000003
ARM,72.22222222222217,72.22222222222217
IRL,72.22222222222217,72.22222222222217
AUT,49.99999999999994,49.99999999999994
AZE,49.99999999999994,49.99999999999994
BLR,49.99999999999994,49.99999999999994
BEL,49.99999999999994,49.99999999999994
CYP,49.99999999999994,49.99999999999994
FIN,49.99999999999994,49.99999999999994
DEU,49.99999999999994,49.99999999999994
HUN,49.99999999999994,49.99999999999994
KGZ,49.99999999999994,49.99999999999994
MNE,49.99999999999994,49.99999999999994
POL,49.99999999999994,49.99999999999994
ESP,49.99999999999994,49.99999999999994
TUR,49.99999999999994,49.99999999999994
ALB,24.99999999999997,24.99999999999997
HRV,24.99999999999997,24.99999999999997
KAZ,24.99999999999997,24.99999999999997
MLT,24.99999999999997,24.99999999999997
UZB,24.99999999999997,24.99999999999997
ROU,24.99999999999997,24.99999999999997
SRB,16.666666666666615,16.666666666666615
LVA,12.499999999999932,12.499999999999932
GEO,0,0
