Indicator,Mean_High,Mean_Low,Diff,W_stat,p_value,r_effect,p_fdr,sig_fdr
DH_3,1.09,-3,4.09,132,0,0.925,0,***
DH_2,1.75,-1.17,2.92,127,7e-4,0.69,0.015,*
DH_1,1.25,-0.33,1.58,125,0.0012,0.66,0.0172,*
DH_6,0.67,2.33,-1.67,18,0.0251,0.528,0.2698,ns
DH_9,1.33,2.67,-1.33,22.5,0.0588,0.445,0.5057,ns
DH_19,1.5,2.5,-1,48,0.0969,0.339,0.5952,ns
DH_43,1.8,2.75,-0.95,41,0.0932,0.358,0.5952,ns
DH_5,0.6,1.5,-0.9,35,0.1851,0.296,0.6926,ns
DH_7,0.82,1.8,-0.98,37,0.151,0.313,0.6926,ns
DH_14,2.5,3,-0.5,55,0.1859,0.276,0.6926,ns
DH_15,2.45,3,-0.55,40.5,0.2145,0.278,0.6926,ns
DH_20,0,0.6,-0.6,44,0.1463,0.317,0.6926,ns
DH_45,1.67,0.75,0.92,47,0.2367,0.287,0.6926,ns
DH_69,0.67,0,0.67,38.5,0.2306,0.3,0.6926,ns
DH_70,1.5,2.33,-0.83,32.5,0.2416,0.269,0.6926,ns
DH_8,1.09,-0.33,1.42,82,0.2993,0.216,0.7487,ns
DH_10,1.36,2.1,-0.74,41.5,0.2861,0.233,0.7487,ns
DH_26,1.5,2.33,-0.83,19.5,0.3134,0.26,0.7487,ns
DH_18,2.25,2.73,-0.48,55.5,0.349,0.195,0.7504,ns
DH_29,2.22,2,0.22,67,0.3353,0.21,0.7504,ns
DH_23,0,0.38,-0.38,28,0.3816,0.219,0.7814,ns
DH_48,3,2.73,0.27,54,0.4214,0.18,0.7936,ns
DH_67,1.25,1.8,-0.55,49,0.4245,0.17,0.7936,ns
DH_17,1.91,2.4,-0.49,46,0.4448,0.167,0.7969,ns
DH_21,1,1.5,-0.5,37.5,0.5045,0.153,0.8035,ns
DH_25,2.18,1.75,0.43,75.5,0.5023,0.14,0.8035,ns
DH_47,2.45,2,0.45,57,0.4788,0.158,0.8035,ns
DH_12,2.75,2.5,0.25,78,0.5797,0.113,0.8309,ns
DH_44,0.9,1.33,-0.43,38.5,0.5582,0.134,0.8309,ns
DH_68,0.55,0.9,-0.35,48.5,0.5673,0.125,0.8309,ns
DH_50,2.25,1.88,0.38,36,0.6477,0.114,0.8984,ns
DH_54,1.67,1.33,0.33,45,0.6838,0.096,0.9189,ns
DH_22,0.67,0.43,0.24,34,0.7546,0.078,0.9271,ns
DH_27,2.6,2.75,-0.15,55.5,0.7345,0.072,0.9271,ns
DH_53,2.33,2.1,0.23,48.5,0.7484,0.074,0.9271,ns
DH_13,2.18,2,0.18,70,0.7871,0.056,0.9401,ns
DH_52,2,2.18,-0.18,46.5,0.8111,0.053,0.9426,ns
DH_16,1.25,1.33,-0.08,52.5,0.934,0.018,0.9574,ns
DH_28,2.4,2.58,-0.18,62,0.9074,0.025,0.9574,ns
DH_46,0.9,1,-0.1,43.5,0.9193,0.023,0.9574,ns
DH_49,2.62,2.7,-0.08,39,0.9351,0.019,0.9574,ns
DH_51,1.33,1.2,0.13,47,0.8863,0.033,0.9574,ns
DH_24,2.45,2.5,-0.05,65,0.9626,0.01,0.9626,ns
