COUNTRY_REGION,Rank_Equal,Rank_Mean_Sim,Rank_SD_Sim,Rank_P5,Rank_P95,Rank_Range
BGR,6.5,6.5,0,6.5,6.5,0
FRA,6.5,6.5,0,6.5,6.5,0
LTU,6.5,6.5,0,6.5,6.5,0
LUX,6.5,6.5,0,6.5,6.5,0
MCO,6.5,6.5,0,6.5,6.5,0
NLD,6.5,6.5,0,6.5,6.5,0
MKD,6.5,6.5,0,6.5,6.5,0
PRT,6.5,6.5,0,6.5,6.5,0
MDA,6.5,6.5,0,6.5,6.5,0
RUS,6.5,6.5,0,6.5,6.5,0
SVK,6.5,6.5,0,6.5,6.5,0
SVN,6.5,6.5,0,6.5,6.5,0
AND,17.5,20.05,0.999248967224134,19,21,2
DNK,17.5,20.05,0.999248967224134,19,21,2
ISL,17.5,20.05,0.999248967224134,19,21,2
ISR,17.5,20.05,0.999248967224134,19,21,2
ITA,17.5,23.602,11.990553338748356,13.5,44.5,31
NOR,17.5,20.05,0.999248967224134,19,21,2
SMR,17.5,20.05,0.999248967224134,19,21,2
SWE,17.5,20.05,0.999248967224134,19,21,2
UKR,17.5,23.602,11.990553338748356,13.5,44.5,31
GBR,17.5,20.05,0.999248967224134,19,21,2
ARM,24.5,20.05,0.999248967224134,19,21,2
CZE,24.5,20.05,0.999248967224134,19,21,2
IRL,24.5,20.05,0.999248967224134,19,21,2
CHE,24.5,20.05,0.999248967224134,19,21,2
EST,27,28.346,2.2736432115557297,26,32,6
AUT,34,35.112,2.604657413219681,31.5,37.5,6
AZE,34,35.112,2.604657413219681,31.5,37.5,6
BLR,34,36.709,7.441013888421906,29.5,47.5,18
BEL,34,35.112,2.604657413219681,31.5,37.5,6
CYP,34,36.709,7.441013888421906,29.5,47.5,18
FIN,34,35.112,2.604657413219681,31.5,37.5,6
DEU,34,35.112,2.604657413219681,31.5,37.5,6
HUN,34,35.112,2.604657413219681,31.5,37.5,6
KGZ,34,35.112,2.604657413219681,31.5,37.5,6
MNE,34,35.112,2.604657413219681,31.5,37.5,6
POL,34,36.709,7.441013888421906,29.5,47.5,18
ESP,34,35.112,2.604657413219681,31.5,37.5,6
TUR,34,36.709,7.441013888421906,29.5,47.5,18
TKM,41,35.112,2.604657413219681,31.5,37.5,6
ALB,45.5,46.084,3.3223458552628116,40,49,9
HRV,45.5,46.084,3.3223458552628116,40,49,9
GRC,45.5,46.084,3.3223458552628116,40,49,9
KAZ,45.5,46.825,3.497371385284469,43.5,50.5,7
MLT,45.5,46.084,3.3223458552628116,40,49,9
UZB,45.5,46.084,3.3223458552628116,40,49,9
ROU,45.5,46.084,3.3223458552628116,40,49,9
TJK,45.5,46.084,3.3223458552628116,40,49,9
SRB,50,46.825,3.497371385284469,43.5,50.5,7
LVA,51,49.85,3.5202119100832396,45,53,8
GEO,52,52.756,0.42970763159228237,52,53,1
BIH,53,20.05,0.999248967224134,19,21,2
