"","DH_1","DH_2","DH_3","DH_5","DH_6","DH_7","DH_8","DH_9","DH_10","DH_12","DH_13","DH_14","DH_15","DH_16","DH_17","DH_18","DH_19","DH_20","DH_21","DH_22","DH_23","DH_24","DH_25","DH_26","DH_27","DH_28","DH_29","DH_43","DH_44","DH_45","DH_46","DH_47","DH_48","DH_49","DH_50","DH_51","DH_52","DH_53","DH_54","DH_67","DH_68","DH_69","DH_70"
"DH_1",0,0.8866,0.5834,0.4952,0.8706,0.8719,0.425,0.8336,0.251,0.5138,0.0566,0.6337,0.7849,0.5583,0.3362,0.8897,0.1682,0.9023,0.5889,0.2704,0.8171,0.0137,0.0968,0.7088,0.1887,0.262,0.0345,0.5754,0.8183,0.4316,0.8183,0.265,0.9023,0.6523,0.6414,0.9759,0.1188,0.2097,0.1865,0.175,0.2784,0.1842,0.3737
"DH_2",0.8866,0,0.0025,0.3378,0.1118,0.0036,0.6991,0.4705,0.5291,1,0.2909,0.6561,0.3984,0.7559,1,0.3395,0.4705,0.3984,0.7533,0.1856,0.1496,0.3226,0.5108,0.2622,0.1959,0.1503,0.0815,0.6737,0.3535,0.3439,1,0.7101,0.2032,0.3984,0.1677,0.3491,0.7101,0.0963,1,0.5291,0.5178,1,0.3029
"DH_3",0.5834,0.0025,0,0.8135,0.0707,0.5153,0.8229,0.0761,0.1078,0.8079,0.595,0.869,0.6599,0.3603,0.1561,0.6419,0.2171,0.165,0.664,0.7821,0.2138,0.1528,0.0307,0.5473,0.6691,0.8283,0.0766,0.6497,0.6253,0.9916,0.6253,0.3723,0.2914,0.2914,0.4323,0.8423,0.5473,0.3509,0.0407,0.7749,0.3765,0.3554,0.2278
"DH_5",0.4952,0.3378,0.8135,0,0.7465,0.1935,0.6791,0.1562,0.3893,0.4979,0.3497,0.7522,0.5701,0.9035,0.3746,0.3517,0.4657,0.3078,0.359,0.7269,0.3881,0.3746,0.7269,0.0517,0.5311,0.2043,0.4878,0.0278,0.2136,0.1282,0.2136,0.2222,0.5701,0.1705,0.2568,0.0983,0.607,0.7269,0.2563,0.3893,0.1729,0.7847,0.4224
"DH_6",0.8706,0.1118,0.0707,0.7465,0,0.6316,0.5363,0.6406,0.0585,0.0307,0.124,0.2148,0.3747,0.922,0.1638,0.4524,0.6406,0.9178,0.9124,0.1638,0.3073,0.0071,0.44,0.4652,0.368,0.1537,0.3054,0.3747,0.7874,0.9124,0.7625,0.152,0.3747,0.3747,0.0542,0.2884,0.0311,0.6537,0.1433,0.4872,0.9549,0.2778,0.5173
"DH_7",0.8719,0.0036,0.5153,0.1935,0.6316,0,0.0801,0.0901,0.0132,0.3997,0.0572,0.1759,0.1143,0.4054,0.0121,0.2668,0.0901,0.0179,0.0235,0.2338,0.5197,0.9819,0.216,0.918,0.4571,0.5634,0.7832,0.1143,0.0935,0.2884,0.0228,0.431,0.4297,0.4297,0.859,0.3754,0.431,0.531,0.1935,0.2071,0.0047,0.4806,0.4193
"DH_8",0.425,0.6991,0.8229,0.6791,0.5363,0.0801,0,0.0247,2e-04,0.6471,0.1791,0.9326,0.8623,0.8131,0.0724,0.2819,0.3357,0.0963,0.5834,0.6924,0.0457,0.4402,0.8028,0.457,0.3628,0.5045,0.9492,0.5125,0.0189,0.0071,0.0063,0.0321,0.9894,0.5748,0.4471,0.2984,0.457,0.9585,0.9598,0.1183,0.0971,0.7057,0.7125
"DH_9",0.8336,0.4705,0.0761,0.1562,0.6406,0.0901,0.0247,0,0,9e-04,0.0015,0.0189,0.0458,0.31,0,0.5157,0.0094,0.1004,0.1196,0.2544,0.1655,0.7922,0.6636,0.0039,0.0327,0.0275,0.2036,0.0458,0.0296,0.3826,0.0296,1e-04,0.0458,0.0458,0.5456,0.3284,0.2298,0.0925,0.4657,0.0107,0.0461,0.9664,0.0356
"DH_10",0.251,0.5291,0.1078,0.3893,0.0585,0.0132,2e-04,0,0,0.0307,0.0262,0.0356,0.0116,0.4988,7e-04,0.4524,9e-04,0.1403,0.6358,0.2877,0.3073,0.8722,0.6537,0.4652,0.8831,0.4511,0.3895,0.0116,0.001,0.0226,1e-04,2e-04,0.3747,0.3747,0.0542,0.2884,0.4652,0.8722,0.7891,0.0015,0.0592,0.8253,0.533
"DH_12",0.5138,1,0.8079,0.4979,0.0307,0.3997,0.6471,9e-04,0.0307,0,0.0019,8e-04,0.0026,0.3997,0.0102,0.529,0.0364,0.7532,0.0818,0.1271,0.4109,0.132,0.132,0.2736,0.1305,0.0162,0.0936,0.0026,0.0031,0.0818,0.0538,4e-04,0.106,0.106,0.7384,0.3997,0.2736,0.6236,0.4979,0.0307,0.1105,0.1872,0.076
"DH_13",0.0566,0.2909,0.595,0.3497,0.124,0.0572,0.1791,0.0015,0.0262,0.0019,0,0.0015,0.0061,0.5597,0.004,0.6423,0.1212,0.4006,0.0143,0.1876,0.1435,0.0328,0.004,0.0723,0.0695,0.0688,0.3996,0.0715,0.0649,0.0143,0.0114,0.0723,0.0061,0.0715,0.6888,0.1742,0.0723,0.1547,0.3497,0,0.0037,0.1084,6e-04
"DH_14",0.6337,0.6561,0.869,0.7522,0.2148,0.1759,0.9326,0.0189,0.0356,8e-04,0.0015,0,0,0.0271,4e-04,0.1268,0.0189,0.9501,0.0341,0.9222,0.7952,0.099,0.0101,0.1264,0.2491,0.4962,0.8955,6e-04,0.0068,0.0341,0.8545,0.1264,0.294,0.294,0.8921,0.5997,0.1264,0.4429,0.2463,0.0026,0.288,0.1095,0.0031
"DH_15",0.7849,0.3984,0.6599,0.5701,0.3747,0.1143,0.8623,0.0458,0.0116,0.0026,0.0061,0,0,0.0164,0.0022,0.192,0.0029,0.8281,0.0215,0.6328,0.192,0.1922,0.0309,0.2125,0.3527,0.6515,0.9135,0.0022,0.0021,0.0215,0.5241,0.0269,0.4054,0.4054,0.4499,0.4297,0.0269,0.6328,0.1705,6e-04,0.2053,0.4006,0.0114
"DH_16",0.5583,0.7559,0.3603,0.9035,0.922,0.4054,0.8131,0.31,0.4988,0.3997,0.5597,0.0271,0.0164,0,0.0121,0.8176,0.7268,0.9884,0.4988,0.531,0.5197,0.5614,0.531,0.5618,1,0.9387,0.7832,0.9884,0.2736,0.0235,0.6006,0.918,0.4297,0.4471,0.859,0.4054,0.918,0.2338,0.6431,0.2071,0.8056,0.9516,0.1478
"DH_17",0.3362,1,0.1561,0.3746,0.1638,0.0121,0.0724,0,7e-04,0.0102,0.004,4e-04,0.0022,0.0121,0,0.0021,0.3342,0.0444,0.8722,0.914,0.4533,0.1634,0.4555,0.006,0.1881,0.5877,0.6716,0.1922,0.0251,0.0194,0.3191,0.0492,0.0309,0.1922,0.2368,0.9819,0.0492,0.4555,0.7889,0.0425,0.9341,0.1876,0.0098
"DH_18",0.8897,0.3395,0.6419,0.3517,0.4524,0.2668,0.2819,0.5157,0.4524,0.529,0.6423,0.1268,0.192,0.8176,0.0021,0,0.5157,0.2816,0.4524,0.8619,0.3623,0.2703,0.8619,0.0027,0.2263,0.9531,0.1227,0.0106,0.1562,0.894,0.5895,0.0625,0.9112,0.192,0.1704,0.5197,0.0625,0.0904,0.3517,0.894,0.3272,0.6423,0.6901
"DH_19",0.1682,0.4705,0.2171,0.4657,0.6406,0.0901,0.3357,0.0094,9e-04,0.0364,0.1212,0.0189,0.0029,0.7268,0.3342,0.5157,0,0.1004,0.0027,0.2544,0.7168,0.7922,0.0925,0.2298,0.2783,0.5224,0.4165,0.0029,0.0038,0.3826,0.0296,0.6871,0.4666,0.8659,0.9018,0.3284,0.0431,0.7922,0.1562,0.0669,0.0461,0.9664,0.9018
"DH_20",0.9023,0.3984,0.165,0.3078,0.9178,0.0179,0.0963,0.1004,0.1403,0.7532,0.4006,0.9501,0.8281,0.9884,0.0444,0.2816,0.1004,0,0.3747,0.6328,0.0106,0.7347,0.6328,0.1207,0.4531,0.2563,0.7326,0.8281,0.3684,0.3747,0.3684,0.5412,0.8281,0.8281,0.3421,0.4297,0.7537,0.6328,0.0664,0.4969,0.0464,0.3644,0.4499
"DH_21",0.5889,0.7533,0.664,0.359,0.9124,0.0235,0.5834,0.1196,0.6358,0.0818,0.0143,0.0341,0.0215,0.4988,0.8722,0.4524,0.0027,0.3747,0,0.1638,0.4524,0.091,0.0194,0.1764,0.4612,0.1616,0.15,0.0215,0.3805,0.9124,0.1441,0.5145,0.4969,0.4969,0.9905,0.0629,0.5145,0.2877,0.1282,0.0226,0.0771,0.6675,0.0511
"DH_22",0.2704,0.1856,0.7821,0.7269,0.1638,0.2338,0.6924,0.2544,0.2877,0.1271,0.1876,0.9222,0.6328,0.531,0.914,0.8619,0.2544,0.6328,0.1638,0,0.2703,0.4555,0.5969,0.09,0.045,0.0142,0.0024,0.0444,0.1583,0.0425,0.0418,0.3393,0.7347,0.2451,0.8808,0.0121,0.6243,0.5969,0.7889,0.2877,0.0126,0.4642,0.2368
"DH_23",0.8171,0.1496,0.2138,0.3881,0.3073,0.5197,0.0457,0.1655,0.3073,0.4109,0.1435,0.7952,0.192,0.5197,0.4533,0.3623,0.7168,0.0106,0.4524,0.2703,0,0.4533,0.8619,0.7979,0.9468,0.7686,0.471,0.2816,0.23,0.894,0.23,0.7979,0.2816,0.2816,0.5739,0.0437,0.4295,0.2703,0.9731,0.3073,0.3272,0.6028,0.5739
"DH_24",0.0137,0.3226,0.1528,0.3746,0.0071,0.9819,0.4402,0.7922,0.8722,0.132,0.0328,0.099,0.1922,0.5614,0.1634,0.2703,0.7922,0.7347,0.091,0.4555,0.4533,0,0.4555,0.006,0.6011,0.5877,0.8087,0.1922,0.6931,0.8722,0.6931,0.0492,0.0309,0.0309,0.2368,0.2338,0.2231,0.5969,0.3746,0.44,0.9341,0.9591,0.6078
"DH_25",0.0968,0.5108,0.0307,0.7269,0.44,0.216,0.8028,0.6636,0.6537,0.132,0.004,0.0101,0.0309,0.531,0.4555,0.8619,0.0925,0.6328,0.0194,0.5969,0.8619,0.4555,0,0.6243,0.24,0.2146,0.1029,0.6328,0.3191,0.6537,0.8393,0.8173,0.6328,0.6328,0.8808,0.0697,0.0492,0.4555,0.1289,0.0425,0.1783,0.1876,0.0616
"DH_26",0.7088,0.2622,0.5473,0.0517,0.4652,0.918,0.457,0.0039,0.4652,0.2736,0.0723,0.1264,0.2125,0.5618,0.006,0.0027,0.2298,0.1207,0.1764,0.09,0.7979,0.006,0.6243,0,8e-04,8e-04,1e-04,0.2125,0.2642,0.1764,0.2642,0.0231,0.2125,0.0269,0.1118,0.0476,0.5582,0.6243,0.0517,0.4652,0.7081,0.5911,0.9436
"DH_27",0.1887,0.1959,0.6691,0.5311,0.368,0.4571,0.3628,0.0327,0.8831,0.1305,0.0695,0.2491,0.3527,1,0.1881,0.2263,0.2783,0.4531,0.4612,0.045,0.9468,0.6011,0.24,8e-04,0,0,0,0.0492,0.1334,0.5265,0.1334,0.1947,0.3527,0.0346,0.3601,0.3811,0.0286,0.1536,0.1622,0.368,0.6072,0.0838,0.1018
"DH_28",0.262,0.1503,0.8283,0.2043,0.1537,0.5634,0.5045,0.0275,0.4511,0.0162,0.0688,0.4962,0.6515,0.9387,0.5877,0.9531,0.5224,0.2563,0.1616,0.0142,0.7686,0.5877,0.2146,8e-04,0,0,0,0.1775,0.009,0.0507,8e-04,0.1413,0.2563,0.1893,0.3961,0.0087,0.1031,0.225,0.9373,0.4511,0.0657,0.0348,0.1067
"DH_29",0.0345,0.0815,0.0766,0.4878,0.3054,0.7832,0.9492,0.2036,0.3895,0.0936,0.3996,0.8955,0.9135,0.7832,0.6716,0.1227,0.4165,0.7326,0.15,0.0024,0.471,0.8087,0.1029,1e-04,0,0,0,0.1537,0.2208,0.2073,0.0718,0.1893,0.6749,0.1537,0.5278,0.0456,0.0822,0.6716,0.1448,0.772,0.2654,0.0549,0.5278
"DH_43",0.5754,0.6737,0.6497,0.0278,0.3747,0.1143,0.5125,0.0458,0.0116,0.0026,0.0715,6e-04,0.0022,0.9884,0.1922,0.0106,0.0029,0.8281,0.0215,0.0444,0.2816,0.1922,0.6328,0.2125,0.0492,0.1775,0.1537,0,1e-04,0.0215,0.0021,0.0269,0.0562,0.0022,0.1044,0.1214,0.2125,0.6328,0.1705,0.0116,0.2053,0.9738,0.1044
"DH_44",0.8183,0.3535,0.6253,0.2136,0.7874,0.0935,0.0189,0.0296,0.001,0.0031,0.0649,0.0068,0.0021,0.2736,0.0251,0.1562,0.0038,0.3684,0.3805,0.1583,0.23,0.6931,0.3191,0.2642,0.1334,0.009,0.2208,1e-04,0,0.0073,0,0.0111,0.5241,0.0264,0.1228,0.2372,0.0696,0.8393,0.5114,0.0082,0.1035,0.4622,0.1228
"DH_45",0.4316,0.3439,0.9916,0.1282,0.9124,0.2884,0.0071,0.3826,0.0226,0.0818,0.0143,0.0341,0.0215,0.0235,0.0194,0.894,0.3826,0.3747,0.9124,0.0425,0.894,0.8722,0.6537,0.1764,0.5265,0.0507,0.2073,0.0215,0.0073,0,0.0073,0.1764,0.4969,0.9178,0.5173,0.4988,0.5145,0.8722,0.7891,0.0226,0.2506,0.3822,0.5173
"DH_46",0.8183,1,0.6253,0.2136,0.7625,0.0228,0.0063,0.0296,1e-04,0.0538,0.0114,0.8545,0.5241,0.6006,0.3191,0.5895,0.0296,0.3684,0.1441,0.0418,0.23,0.6931,0.8393,0.2642,0.1334,8e-04,0.0718,0.0021,0,0.0073,0,0.0111,0.1569,0.0264,0.0279,0.0178,0.6643,0.6931,0.6149,0.0429,0.0245,0.4622,0.0279
"DH_47",0.265,0.7101,0.3723,0.2222,0.152,0.431,0.0321,1e-04,2e-04,4e-04,0.0723,0.1264,0.0269,0.918,0.0492,0.0625,0.6871,0.5412,0.5145,0.3393,0.7979,0.0492,0.8173,0.0231,0.1947,0.1413,0.1893,0.0269,0.0111,0.1764,0.0111,0,0.2125,0.0269,0.017,0.5618,0.1575,0.8173,0.2222,0.0311,0.2762,0.3147,0.4103
