Ind1,Ind2,rho,p_val,p_fdr
DH_14,DH_15,0.9251909321159418,4.15280702162584e-23,3.7499847405281336e-20
DH_48,DH_49,0.7055555555555555,3.6453661889143883e-9,1.6458828342948462e-6
DH_28,DH_29,0.6949008609108603,7.800857106415466e-9,2.2891117419592372e-6
DH_27,DH_29,0.6911188316234582,1.014002986471423e-8,2.2891117419592372e-6
DH_13,DH_67,0.6711686622482396,3.79779689347898e-8,6.8588211896230384e-6
DH_44,DH_46,0.6056547619047619,1.547410704185919e-6,2.328853109799808e-4
DH_27,DH_28,0.5951723527582503,2.5971565307169096e-6,3.350331924624813e-4
DH_49,DH_50,0.5841874089493275,4.38333769000887e-6,4.947692417597513e-4
DH_10,DH_9,0.5356833310606359,3.573683621532483e-5,0.0035855959002709247
DH_17,DH_9,0.5280821103080681,4.825228611286268e-5,0.0043571814359915
DH_26,DH_29,0.5243454892905615,5.578084914406832e-5,0.0044936079792716
DH_10,DH_46,0.5205868869980732,6.442909875886468e-5,0.0044936079792716
DH_43,DH_44,0.5204800389058843,6.469203070933642e-5,0.0044936079792716
DH_50,DH_51,0.5047476892173255,1.1613114975709475e-4,0.007490459159332611
DH_47,DH_9,0.5012961414371475,1.3153870563662297e-4,0.007918630079324702
DH_10,DH_47,0.4905661155442039,1.921384176878426e-4,0.010787281573296422
DH_10,DH_8,0.48896721683599476,2.030828203167654e-4,0.010787281573296422
DH_14,DH_17,0.4718222650428473,3.617209759506624e-4,0.017379168713781732
DH_12,DH_47,0.4714906054773425,3.6567464624789913e-4,0.017379168713781732
DH_48,DH_50,0.4646432673496582,4.5656885892889727e-4,0.02061408398063971
DH_14,DH_43,0.4581897949526569,5.604655000800086e-4,0.024100016503440368
DH_13,DH_70,0.4541688801029713,6.35550927284672e-4,0.024189649294709698
DH_15,DH_67,0.45412624913651356,6.363934333590191e-4,0.024189649294709698
DH_68,DH_69,0.45379800513228485,6.429142669690286e-4,0.024189649294709698
DH_10,DH_17,0.45115636713827406,6.976270451515233e-4,0.02519828887087302
DH_26,DH_27,0.4475755763716117,7.784877663488823e-4,0.025387189791502816
DH_28,DH_46,0.44685636112462007,7.957119199198026e-4,0.025387189791502816
DH_26,DH_28,0.4462332526574857,8.109109684766147e-4,0.025387189791502816
DH_12,DH_14,0.4460547088784395,8.153139578666464e-4,0.025387189791502816
DH_67,DH_70,0.44452004180588733,8.540560963426117e-4,0.025707088499912614
DH_12,DH_9,0.44233918732073285,9.119606878486817e-4,0.02625326406707836
DH_10,DH_19,0.4416726802453587,9.303482282907059e-4,0.02625326406707836
DH_10,DH_44,0.4401463476077004,9.737175836732026e-4,0.02664445388051218
DH_49,DH_51,0.43287174327732014,0.001206405608651843,0.03204071366507689
DH_67,DH_68,0.42940964416966554,0.0013337263811431241,0.034410140633492604
DH_10,DH_67,0.4256965944272446,0.0014835197138799961,0.03589405056590991
DH_13,DH_14,0.42522583303214145,0.001503547412237418,0.03589405056590991
DH_13,DH_9,0.42506391381975706,0.0015104916074247803,0.03589405056590991
DH_12,DH_13,0.4161118100481389,0.0019419818736284536,0.04470981176786144
DH_17,DH_18,0.4136197779149161,0.002080176562424458,0.04470981176786144
DH_15,DH_44,0.4127244058511505,0.002131925299674973,0.04470981176786144
DH_43,DH_46,0.4127244058511505,0.002131925299674973,0.04470981176786144
DH_15,DH_17,0.4115679022204455,0.0022004593631689486,0.04470981176786144
DH_15,DH_43,0.4111111111111111,0.002228063709361866,0.04470981176786144
DH_43,DH_49,0.4111111111111111,0.002228063709361866,0.04470981176786144
DH_22,DH_29,0.4087144651052731,0.0023780008953064886,0.04634789605710298
DH_2,DH_3,0.40681771928671345,0.002502946192117229,0.04634789605710298
DH_14,DH_67,0.40562763330114315,0.0025842837197704834,0.04634789605710298
DH_12,DH_15,0.4048462213766642,0.002638956825065349,0.04634789605710298
DH_12,DH_43,0.4048462213766642,0.002638956825065349,0.04634789605710298
DH_18,DH_26,0.40448955723191954,0.0026642506513171473,0.04634789605710298
DH_19,DH_21,0.4044231770921357,0.0026689818327456866,0.04634789605710298
DH_15,DH_19,0.4015622720773415,0.002880101486019177,0.048161697071765125
DH_19,DH_43,0.4015622720773415,0.002880101486019177,0.048161697071765125
