"Measure code","DH_FACT_ATT","COUNTRY_REGION","YEAR","VALUE"
"DH_1","NO_1","ALB","2022","1"
"DH_1","NO_1","AND","2022","1"
"DH_1","NO","ARM","2022","1"
"DH_1","NO_1","AUT","2022","1"
"DH_1","YES","AZE","2022","1"
"DH_1","YES","BLR","2022","1"
"DH_1","YES","BEL","2022","1"
"DH_1","MND_1","BIH","2022","1"
"DH_1","NO","BGR","2022","1"
"DH_1","NO_1","HRV","2022","1"
"DH_1","YES","CYP","2022","1"
"DH_1","YES","CZE","2022","1"
"DH_1","YES","DNK","2022","1"
"DH_1","YES","EST","2022","1"
"DH_1","YES","FIN","2022","1"
"DH_1","YES","FRA","2022","1"
"DH_1","NO_1","GEO","2022","1"
"DH_1","NO_1","DEU","2022","1"
"DH_1","NO_1","GRC","2022","1"
"DH_1","YES","HUN","2022","1"
"DH_1","YES","ISL","2022","1"
"DH_1","YES","IRL","2022","1"
"DH_1","YES","ISR","2022","1"
"DH_1","YES","ITA","2022","1"
"DH_1","YES","KAZ","2022","1"
"DH_1","YES","KGZ","2022","1"
"DH_1","NO_1","LVA","2022","1"
"DH_1","YES","LTU","2022","1"
"DH_1","NO","LUX","2022","1"
"DH_1","NO_1","MLT","2022","1"
"DH_1","NO","MCO","2022","1"
"DH_1","YES","MNE","2022","1"
"DH_1","YES","NLD","2022","1"
"DH_1","NO","MKD","2022","1"
"DH_1","YES","NOR","2022","1"
"DH_1","NO_1","POL","2022","1"
"DH_1","YES","PRT","2022","1"
"DH_1","NO","MDA","2022","1"
"DH_1","NO_1","UZB","2022","1"
"DH_1","NO_1","ROU","2022","1"
"DH_1","YES","RUS","2022","1"
"DH_1","NO_1","SMR","2022","1"
"DH_1","YES","SRB","2022","1"
"DH_1","NO","SVK","2022","1"
"DH_1","NO","SVN","2022","1"
"DH_1","YES","ESP","2022","1"
"DH_1","YES","SWE","2022","1"
"DH_1","YES","CHE","2022","1"
"DH_1","NO_1","TJK","2022","1"
"DH_1","NO_1","TKM","2022","1"
"DH_1","NO_1","TUR","2022","1"
"DH_1","YES","UKR","2022","1"
"DH_1","YES","GBR","2022","1"
"DH_2","NO_2","ALB","2022","1"
"DH_2","YES","AND","2022","1"
"DH_2","YES","ARM","2022","1"
"DH_2","YES","AUT","2022","1"
"DH_2","NO_2","AZE","2022","1"
"DH_2","YES","BLR","2022","1"
"DH_2","NO_2","BEL","2022","1"
"DH_2","MND_1","BIH","2022","1"
"DH_2","YES","BGR","2022","1"
"DH_2","NO_2","HRV","2022","1"
"DH_2","NO","CYP","2022","1"
"DH_2","YES","CZE","2022","1"
"DH_2","YES","DNK","2022","1"
"DH_2","NO_2","EST","2022","1"
"DH_2","NO_2","FIN","2022","1"
"DH_2","YES","FRA","2022","1"
"DH_2","NO_2","GEO","2022","1"
"DH_2","NO","DEU","2022","1"
"DH_2","NO_2","GRC","2022","1"
"DH_2","NO_2","HUN","2022","1"
"DH_2","NO_2","ISL","2022","1"
"DH_2","NO","IRL","2022","1"
"DH_2","NO_2","ISR","2022","1"
"DH_2","YES","ITA","2022","1"
"DH_2","NO_2","KAZ","2022","1"
"DH_2","NO_2","KGZ","2022","1"
"DH_2","YES","LVA","2022","1"
"DH_2","YES","LTU","2022","1"
"DH_2","NO","LUX","2022","1"
"DH_2","NO_2","MLT","2022","1"
"DH_2","NO","MCO","2022","1"
"DH_2","NO_2","MNE","2022","1"
"DH_2","NO","NLD","2022","1"
"DH_2","YES","MKD","2022","1"
"DH_2","YES","NOR","2022","1"
"DH_2","NO","POL","2022","1"
"DH_2","YES","PRT","2022","1"
"DH_2","NO","MDA","2022","1"
"DH_2","NO_2","UZB","2022","1"
"DH_2","NO_2","ROU","2022","1"
"DH_2","YES","RUS","2022","1"
"DH_2","YES","SMR","2022","1"
"DH_2","NO_2","SRB","2022","1"
"DH_2","YES","SVK","2022","1"
"DH_2","NO","SVN","2022","1"
"DH_2","NO_2","ESP","2022","1"
"DH_2","NO","SWE","2022","1"
"DH_2","YES","CHE","2022","1"
"DH_2","NO_2","TJK","2022","1"
"DH_2","YES","TKM","2022","1"
"DH_2","YES","TUR","2022","1"
"DH_2","YES","UKR","2022","1"
"DH_2","NO_2","GBR","2022","1"
"DH_3","NO_3","ALB","2022","1"
"DH_3","YES","AND","2022","1"
"DH_3","NO_3","ARM","2022","1"
"DH_3","NO_3","AUT","2022","1"
"DH_3","NO_3","AZE","2022","1"
"DH_3","NO_3","BLR","2022","1"
"DH_3","NO_3","BEL","2022","1"
"DH_3","MND_1","BIH","2022","1"
"DH_3","NO","BGR","2022","1"
"DH_3","NO_3","HRV","2022","1"
"DH_3","NO_3","CYP","2022","1"
"DH_3","NO_3","CZE","2022","1"
"DH_3","NO_3","DNK","2022","1"
"DH_3","MND_1","EST","2022","1"
"DH_3","NO_3","FIN","2022","1"
"DH_3","YES","FRA","2022","1"
"DH_3","NO_3","GEO","2022","1"
"DH_3","NO_3","DEU","2022","1"
"DH_3","NO_3","GRC","2022","1"
"DH_3","NO_3","HUN","2022","1"
"DH_3","YES","ISL","2022","1"
"DH_3","NO_3","IRL","2022","1"
"DH_3","YES","ISR","2022","1"
"DH_3","YES","ITA","2022","1"
"DH_3","NO_3","KAZ","2022","1"
"DH_3","NO_3","KGZ","2022","1"
"DH_3","NO_3","LVA","2022","1"
"DH_3","YES","LTU","2022","1"
"DH_3","NO","LUX","2022","1"
"DH_3","NO_3","MLT","2022","1"
"DH_3","MND_1","MCO","2022","1"
"DH_3","NO_3","MNE","2022","1"
"DH_3","NO","NLD","2022","1"
"DH_3","NO","MKD","2022","1"
"DH_3","NO_3","NOR","2022","1"
"DH_3","NO","POL","2022","1"
"DH_3","YES","PRT","2022","1"
"DH_3","NO","MDA","2022","1"
"DH_3","NO_3","UZB","2022","1"
"DH_3","NO_3","ROU","2022","1"
"DH_3","YES","RUS","2022","1"
"DH_3","NO","SMR","2022","1"
"DH_3","NO_3","SRB","2022","1"
"DH_3","NO","SVK","2022","1"
"DH_3","NO","SVN","2022","1"
"DH_3","NO_3","ESP","2022","1"
"DH_3","NO_3","SWE","2022","1"
"DH_3","NO_3","CHE","2022","1"
"DH_3","NO_3","TJK","2022","1"
"DH_3","NO_3","TKM","2022","1"
"DH_3","YES","TUR","2022","1"
"DH_3","YES","UKR","2022","1"
"DH_3","NO","GBR","2022","1"
"DH_4","YES","ALB","2022","1"
"DH_4","YES","AND","2022","1"
"DH_4","MND_1","ARM","2022","1"
"DH_4","YES","AUT","2022","1"
"DH_4","YES","AZE","2022","1"
"DH_4","YES","BLR","2022","1"
"DH_4","YES","BEL","2022","1"
"DH_4","MND_1","BIH","2022","1"
"DH_4","YES","BGR","2022","1"
"DH_4","YES","HRV","2022","1"
"DH_4","YES","CYP","2022","1"
"DH_4","YES","CZE","2022","1"
"DH_4","YES","DNK","2022","1"
"DH_4","YES","EST","2022","1"
"DH_4","YES","FIN","2022","1"
"DH_4","YES","FRA","2022","1"
"DH_4","YES","GEO","2022","1"
"DH_4","YES","DEU","2022","1"
"DH_4","YES","GRC","2022","1"
"DH_4","YES","HUN","2022","1"
"DH_4","YES","ISL","2022","1"
"DH_4","YES","IRL","2022","1"
"DH_4","YES","ISR","2022","1"
"DH_4","YES","ITA","2022","1"
"DH_4","YES","KAZ","2022","1"
"DH_4","YES","KGZ","2022","1"
"DH_4","YES","LVA","2022","1"
"DH_4","YES","LTU","2022","1"
"DH_4","YES","LUX","2022","1"
"DH_4","YES","MLT","2022","1"
"DH_4","YES","MCO","2022","1"
"DH_4","YES","MNE","2022","1"
"DH_4","YES","NLD","2022","1"
"DH_4","YES","MKD","2022","1"
"DH_4","YES","NOR","2022","1"
"DH_4","YES","POL","2022","1"
"DH_4","YES","PRT","2022","1"
